,model_run,model_error,timestep,runtime_yr,computational_time,ET,K_d,K_n,P,S,S_init,St,T,average_rch,day,downstream_length,dt,dx,fixed_upstream_length,hour,infiltration_capacity,init_z,initial_relief,k_f,k_w,kyr,m,max_dt,max_rel_dz,min_abs_dz,min_rel_dz,n,n_initial_topo_segments,omega,phi,precip_return_time,precipitation_duration,recalculate_slope,relief_file,specific_yield,total_runtime,upstream_aspect_ratio,upstream_length,use_relief_from_file,variable_dt,width,year,time_yr,n_streams,stream_density_str_per_km,erosion_rate_m_per_yr,incision_rate_m_per_yr,avg_watertable_depth_m,ratio_overland_flow_baseflow,ratio_overland_and_baseflow_erosion
0,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,11.0,1.1,2.1628741441555283e-06,3.744973510665133e-05,2.144349164543917,0.006599257552022918,0.00027609330093347897
1,,,,,,1.1883032930260856e-08,1.267523512561158e-12,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,6.0,0.6,8.592363830707117e-07,0.00016680218423400353,13.566873676134161,0.00010336539858477037,4.802953775377527e-08
2,,,,,,1.1883032930260856e-08,3.168808781402895e-12,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,6.0,0.6,9.369530264447648e-07,0.00015115935023557675,11.979715106065738,0.000122750211961247,7.482833119671439e-08
3,,,,,,1.1883032930260856e-08,3.168808781402895e-11,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,9.0,0.9,1.4774707551204072e-06,9.345057294819888e-05,6.595182770648497,0.0008116389135747744,5.3778956245342025e-06
4,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,11.0,1.1,2.1628741441555283e-06,3.744973510665133e-05,2.144349164543917,0.006599257552022918,0.00027609330093347897
5,,,,,,1.1883032930260856e-08,1.267523512561158e-09,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,17.0,1.7,2.4679310740074695e-06,1.5922585012959392e-05,0.6705739745970561,0.039434911866645626,0.009793914033842504
6,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,1.5844043907014474e-08,0.005,0.005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,10.0,1.0,7.2114611707788e-07,1.638417771544291e-05,0.9998557846760309,0.03841763256909223,0.008973274509513116
7,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,11.0,1.1,2.1628741441555283e-06,3.744973510665133e-05,2.144349164543917,0.006599257552022918,0.00027609330093347897
8,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,3.168808781402895e-08,0.005,0.005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,14.0,1.4,3.4618634573364387e-06,4.859816097812087e-05,2.7323239088274076,0.005742185488626491,0.00022014355000740982
9,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,3.9610109767536186e-08,0.005,0.005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,15.0,1.5,4.525717445138944e-06,5.724554548244263e-05,3.256395990151918,0.003912418165557648,6.054504441251859e-05
10,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.0001,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,39.0,3.9,2.316527362027089e-10,-2.892795276025761e-07,0.048371386448074774,33.40299784626396,100.0366980827854
11,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.0005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,41.0,4.1000000000000005,1.782876347656287e-08,-2.1833712942954332e-07,0.05147482565586621,7.027312752827627,20.772998759824873
12,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.001,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,42.0,4.2,9.509834240838205e-08,5.422055871887651e-07,0.06827962281319702,2.505716393852669,5.444548123978986
13,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.005,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,11.0,1.1,2.1628741441555283e-06,3.744973510665133e-05,2.144349164543917,0.006599257552022918,0.00027609330093347897
14,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.005,0.01,0.05,0.001,False,86400.0,5000.0,31557600.0,5.0,True,3600.0,0.0001,0.0,0.5,0.316,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,default_topography.csv,0.2,3155760000000.0,1.0,5000.0,True,True,10000,31557600.0,100181.32195497076,6.0,0.6,5.81874818543106e-06,0.00017378841416329797,12.072920539552749,0.0009632823009033563,1.002739909280371e-05
