,model_run,model_error,timestep,runtime_yr,computational_time,ET,K_d,K_n,P,S,S_init,St,T,U,average_rch,day,downstream_length,dt,dx,final_topography_file,fixed_upstream_length,hour,infiltration_capacity,init_z,initial_relief,initial_topography_file,k_f,k_w,kyr,m,max_dt,max_rel_dz,min_abs_dz,min_rel_dz,n,n_initial_topo_segments,omega,phi,precip_return_time,precipitation_duration,recalculate_slope,relief_input_file,save_final_topography,save_initial_topography,specific_yield,total_runtime,upstream_aspect_ratio,upstream_length,use_relief_from_file,variable_dt,width,year,time_yr,n_streams,stream_density_str_per_km,erosion_rate_m_per_yr,incision_rate_m_per_yr,avg_watertable_depth_m,ratio_overland_flow_baseflow,ratio_overland_and_baseflow_erosion
0,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,12.0,0.6,4.176938609719487e-06,0.00031196465788204,2.887370636497852,0.0012801235231217263,9.807203650807172e-07
1,,,,,,1.1883032930260856e-08,1.267523512561158e-12,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,13.0,0.65,1.3918881559329031e-06,0.00037530787209531764,3.687209338213573,0.0003620250507332946,3.8955172695568033e-08
2,,,,,,1.1883032930260856e-08,1.4196263340684972e-10,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,12.0,0.6,3.086978708523952e-06,0.0003257403505994762,3.061768512581487,0.0008591791821579652,3.981056612131126e-07
3,,,,,,1.1883032930260856e-08,2.826577433011383e-10,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,12.0,0.6,3.990639424008032e-06,0.00031297895081073955,2.9151220524984995,0.0012087704179088272,8.615239885512719e-07
4,,,,,,1.1883032930260856e-08,4.2335285319542685e-10,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,12.0,0.6,4.682065076294428e-06,0.000305947674471347,2.8178099961545575,0.0014882784796027087,1.3755704255380554e-06
5,,,,,,1.1883032930260856e-08,5.640479630897153e-10,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,12.0,0.6,5.251761534476392e-06,0.0002953752874910924,2.7590089100545447,0.0017264840315218814,1.884197569493081e-06
6,,,,,,1.1883032930260856e-08,7.047430729840038e-10,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,12.0,0.6,5.6763550555765055e-06,0.0002903626595701873,2.700557978387422,0.0019477657506071426,2.464673734369882e-06
7,,,,,,1.1883032930260856e-08,8.454381828782925e-10,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,12.0,0.6,6.07820043111692e-06,0.00028653822031321166,2.64956055973597,0.00214821885832339,3.0664447354809713e-06
8,,,,,,1.1883032930260856e-08,9.86133292772581e-10,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,12.0,0.6,6.435074209746311e-06,0.0002822018927858224,2.6063334560489575,0.002337280323028113,3.6993991921293247e-06
9,,,,,,1.1883032930260856e-08,1.1268284026668694e-09,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,12.0,0.6,6.776360081075158e-06,0.00027957383136769927,2.565960289076014,0.0025118715609696364,4.344132373695468e-06
