,model_run,model_error,timestep,runtime_yr,computational_time,ET,K_d,K_n,P,S,S_init,St,T,U,average_rch,day,downstream_length,dt,dx,final_topography_file,fixed_upstream_length,hour,infiltration_capacity,init_z,initial_relief,initial_topography_file,k_f,k_w,kyr,m,max_dt,max_rel_dz,min_abs_dz,min_rel_dz,n,n_initial_topo_segments,omega,phi,precip_return_time,precipitation_duration,recalculate_slope,relief_input_file,save_final_topography,save_initial_topography,specific_yield,total_runtime,upstream_aspect_ratio,upstream_length,use_relief_from_file,variable_dt,width,year,time_yr,n_streams,stream_density_str_per_km,erosion_rate_m_per_yr,incision_rate_m_per_yr,avg_watertable_depth_m,ratio_overland_flow_baseflow,ratio_overland_and_baseflow_erosion
0,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,12.0,0.6,1.8714963788120657e-06,1.1234241413701141e-05,2.9915761096602926,0.0017228097399788218,1.701959167531811e-06
1,,,,,,1.1883032930260856e-08,1.267523512561158e-12,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,12.0,0.6,2.42826874112716e-07,6.609655532673503e-05,3.641762352579003,0.0007442005180301489,1.6612874065194178e-07
2,,,,,,1.1883032930260856e-08,1.4196263340684972e-10,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,12.0,0.6,1.1191601991827081e-06,2.6575712586757087e-05,3.18189259669558,0.0013398906944690674,9.109325805569117e-07
3,,,,,,1.1883032930260856e-08,2.826577433011383e-10,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,12.0,0.6,1.7399921900100535e-06,1.3608762637881006e-05,3.019769185785522,0.0016549392370856693,1.544011257922443e-06
4,,,,,,1.1883032930260856e-08,4.2335285319542685e-10,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,12.0,0.6,2.248369013971311e-06,4.804236769309933e-06,2.9132323667801594,0.0019139868282282966,2.1930332223001292e-06
5,,,,,,1.1883032930260856e-08,5.640479630897153e-10,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,12.0,0.6,2.6869693051662258e-06,-1.8340776542126254e-06,2.8317803398294035,0.002141605929505283,2.8634993780771074e-06
6,,,,,,1.1883032930260856e-08,7.047430729840038e-10,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,12.0,0.6,3.075888562618831e-06,-7.061691699308858e-06,2.7665082005236976,0.0023514203935162915,3.5646549089928266e-06
7,,,,,,1.1883032930260856e-08,8.454381828782925e-10,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,12.0,0.6,3.4291063068968886e-06,-1.164206483958742e-05,2.7099420653419948,0.002543432125821561,4.2815969586111554e-06
8,,,,,,1.1883032930260856e-08,9.86133292772581e-10,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,12.0,0.6,3.7509883122721755e-06,-1.5302143335340176e-05,2.6627016340252685,0.002728179619214558,5.035361719335441e-06
9,,,,,,1.1883032930260856e-08,1.1268284026668694e-09,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,12.0,0.6,4.051649527772342e-06,-1.8895728326714664e-05,2.618654399147704,0.0028995076630394414,5.797617223085238e-06
10,,,,,,1.1883032930260856e-08,1.267523512561158e-09,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,12.0,0.6,4.331124386846496e-06,-2.1960293879956804e-05,2.5799855746079574,0.003065636689985027,6.590671902982139e-06
11,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,7.922021953507237e-09,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,11.0,0.55,1.5597584378940836e-10,-0.00016286728607956054,1.6896012056913852,176980.3115740614,1493139.1016189072
12,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,1.232314526101126e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,11.0,0.55,2.0284708315428193e-10,-0.00016280325736695185,1.6900435546438493,236675.93742195153,1547981.5747830847
13,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,1.672426856851528e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,8.0,0.4,1.2336559053474832e-06,-1.2851990065293739e-05,2.842622777297473,0.0023967099887410898,4.773285154047642e-06
14,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.1125391876019303e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,12.0,0.6,1.7675251966333496e-06,5.084260572819159e-06,2.979871743448965,0.0020763363338330465,2.620469613064905e-06
15,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.5526515183523322e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,12.0,0.6,1.9355084963729184e-06,1.5146966031197016e-05,2.9845913468036254,0.0015404446196329925,1.2699886397097574e-06
16,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.992763849102734e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,12.0,0.6,2.0361795446343976e-06,2.1809906958169707e-05,2.9468892114693004,0.0012895385669545911,7.9468280314693e-07
17,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,3.4328761798531367e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,12.0,0.6,2.11364740296829e-06,2.6161546450040273e-05,2.887250752902126,0.001139811180252611,5.60655433019563e-07
18,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,3.8729885106035386e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,12.0,0.6,2.1764213100308287e-06,2.9964364488469906e-05,2.8119882896304875,0.0010326142666997366,4.146704966549315e-07
19,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,4.3131008413539405e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,12.0,0.6,2.2289216065467587e-06,3.303618448216664e-05,2.7273187868638518,0.0009558992030804314,3.238549103095771e-07
20,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,4.7532131721043424e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,13.0,0.65,2.5998524728829656e-06,3.91689019499377e-05,2.7562313275182797,0.0009387976273463885,2.8580716970540823e-07
21,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.0004,0.0001,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,12.0,0.6,1.115080069970335e-21,-0.00016301961224698462,1.2976397711221097,0.009114024949866642,
22,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.0004,0.0012000000000000001,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,7.0,0.35,7.314488961449472e-06,0.0007713677357141088,9.95979674592554,0.00024766370726483574,5.1894860317607204e-08
23,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.0004,0.0023,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,5.0,0.25,1.1672665638372297e-05,0.0018548556919838785,19.23080082921732,8.713159363929438e-05,9.384267620594363e-09
24,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.0004,0.0034,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/saved_final_topography_base_case_1e4yr.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10067.903005995406,4.0,0.2,1.443588523449598e-05,0.0029312971633350983,29.10454100626285,4.6239197581414556e-05,2.9745674513522277e-09
